Reference Series Turning Points,,,,,,(1 sets for a Peak and -1 sets for a Trough),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUS,AUT,BEL,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LUX,LTU,LVA,MEX,NLD,NOR,NZL,POL,PRT,RUS,SVK,SVN,SWE,TUR,USA,ZAF,A5M,EMU,G4E,G7M,OEU,ONM,OTO,NAT
,Australia,Austria,Belgium,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Japan,Korea,Luxembourg,Lithuania,Latvia,Mexico,Netherlands,Norway,New Zealand,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa,Major Five Asia,Euro Area,Major Four Europe,Major Seven,OECD Europe,OECD + Major 6 non member countries,OECD Total,NAFTA
01-12-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-01-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-02-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-03-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-04-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-05-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-06-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-07-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-08-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-09-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
01-10-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
